confort d'utilisation reglage et entretien faciles qualité professionnelle guide et chaine HYUNDAI

Cylindrée 38 cm³ moteur 2 tps refroidissement à air vitesse de rotation 3000tr/mn longueur de guide 35.6 cm guide et chaine Hyundai capacité de carburant 260 ml ratio carburant huile 40:1 systeme de chaine anti fouet système anti vibration graissage de chaine auto pas de chaine 3/8 reglage tension de la chaine avec vis latérale

Fonction	Couper des arbres
Longueur de guide (en cm)	35.6
Longueur de coupe (en cm)	33.5
Fréquence d'utilisation	Régulière
Cylindrée (en cm³)	38
Régime maximum moteur (en tr/min)	3000
Système antivibration	Oui
Indicateur du niveau d'huile	Non
Marque du guide	HYUNDAI
Type de tension de la chaîne	Avec outil
Fonction télescopique	Non
Accessoires fournis	NON
Poids du produit nu (en kg)	6
Type de graissage	Automatique
Pas de chaîne	3/8"
Vitesse de chaîne (en m/s)	21
Période de disponibilité des pièces détachées après le dernier achat de la dernière unité vendue (en années)	5
Produit emballé : hauteur (en cm)	29.5
Produit emballé : largeur (en cm)	53
Produit emballé : profondeur (en cm)	45
Produit emballé : poids (en kg)	13
